,ew_growth_signal,ew_margin_signal,ew_pricing_power_net,ew_labor_pressure_density,ew_supply_chain_pressure_density,ew_macro_risk_density,ew_uncertainty_density,cpi_yoy,core_cpi_yoy,Unemployment_Rate,fed_inflation_score,fed_growth_score
ew_growth_signal,1.0,0.45125474190913395,0.4120741655882265,-0.34016262052664037,-0.4024736220064525,-0.3122765407961497,-0.41860773675832547,-0.3698280616844645,-0.41514347288495634,0.37845917580664995,-0.12312344235105306,-0.19440356676521978
ew_margin_signal,0.45125474190913395,1.0,-0.1490089159149508,-0.5420775913512907,-0.627218678194901,-0.18156533173315098,-0.42601264213609524,-0.7325149800867534,-0.7376099085700962,0.6126937470780691,-0.26754280085824234,-0.14696650821052296
ew_pricing_power_net,0.4120741655882265,-0.1490089159149508,1.0,0.3725765166879853,-0.20518249699201963,0.27162331558834246,0.4290455901489418,-0.003369587657912677,-0.14105632838152712,0.2099725844482631,-0.1483908596379414,-0.12672236382600138
ew_labor_pressure_density,-0.34016262052664037,-0.5420775913512907,0.3725765166879853,1.0,0.3568544398149133,0.33344591434454485,0.5915296335417035,0.48846595040835367,0.421602791221265,-0.28318351188486984,0.07474554435411884,0.14299731641683897
ew_supply_chain_pressure_density,-0.4024736220064525,-0.627218678194901,-0.20518249699201963,0.3568544398149133,1.0,0.25344072406177826,0.29431960593123274,0.8287287831319211,0.7846359140133584,-0.6307292917819479,0.08401540971154603,0.0658070986805767
ew_macro_risk_density,-0.3122765407961497,-0.18156533173315098,0.27162331558834246,0.33344591434454485,0.25344072406177826,1.0,0.8146092808726602,0.08678602220303386,-0.06273407340233485,0.1817267811314083,-0.27843338270110024,-0.018204470106285082
ew_uncertainty_density,-0.41860773675832547,-0.42601264213609524,0.4290455901489418,0.5915296335417035,0.29431960593123274,0.8146092808726602,1.0,0.26062333717648817,0.17996180866862485,-0.08556912731388475,-0.08011134314955701,0.0352958256085229
cpi_yoy,-0.3698280616844645,-0.7325149800867534,-0.003369587657912677,0.48846595040835367,0.8287287831319211,0.08678602220303386,0.26062333717648817,1.0,0.909810028787931,-0.7084635920460396,0.1882864764047928,0.11976687460671565
core_cpi_yoy,-0.41514347288495634,-0.7376099085700962,-0.14105632838152712,0.421602791221265,0.7846359140133584,-0.06273407340233485,0.17996180866862485,0.909810028787931,1.0,-0.9058017773405982,0.4052222904835077,0.25423262046562234
Unemployment_Rate,0.37845917580664995,0.6126937470780691,0.2099725844482631,-0.28318351188486984,-0.6307292917819479,0.1817267811314083,-0.08556912731388475,-0.7084635920460396,-0.9058017773405982,1.0,-0.461567117329029,-0.21590576044524948
fed_inflation_score,-0.12312344235105306,-0.26754280085824234,-0.1483908596379414,0.07474554435411884,0.08401540971154603,-0.27843338270110024,-0.08011134314955701,0.1882864764047928,0.4052222904835077,-0.461567117329029,1.0,0.7797937640728086
fed_growth_score,-0.19440356676521978,-0.14696650821052296,-0.12672236382600138,0.14299731641683897,0.0658070986805767,-0.018204470106285082,0.0352958256085229,0.11976687460671565,0.25423262046562234,-0.21590576044524948,0.7797937640728086,1.0
