call_quarter,n_transcripts,n_companies,share_guidance_raised,share_guidance_lowered,share_positive_composite,share_negative_qna_gap,ew_overall_net_tone,tw_overall_net_tone,ew_prepared_net_tone,tw_prepared_net_tone,ew_qa_net_tone,tw_qa_net_tone,ew_management_qa_net_tone,tw_management_qa_net_tone,ew_analyst_question_net_tone,tw_analyst_question_net_tone,ew_demand_net,tw_demand_net,ew_pricing_power_net,tw_pricing_power_net,ew_capex_net,tw_capex_net,ew_supply_chain_pressure_density,tw_supply_chain_pressure_density,ew_labor_pressure_density,tw_labor_pressure_density,ew_automation_density,tw_automation_density,ew_uncertainty_density,tw_uncertainty_density,ew_macro_risk_density,tw_macro_risk_density,ew_growth_signal,tw_growth_signal,ew_margin_signal,tw_margin_signal,ew_credibility_signal,tw_credibility_signal,ew_composite_signal,tw_composite_signal,ew_qna_reality_gap,tw_qna_reality_gap,ew_analyst_management_gap,tw_analyst_management_gap,ew_complexity_score,tw_complexity_score,ew_numeric_token_share,tw_numeric_token_share,ew_composite_signal_rolling_mean4,ew_composite_signal_rolling_z8,ew_growth_signal_rolling_mean4,ew_growth_signal_rolling_z8,ew_margin_signal_rolling_mean4,ew_margin_signal_rolling_z8,ew_macro_risk_density_rolling_mean4,ew_macro_risk_density_rolling_z8,quarter,GDP_YoY_Pct,gdp_yoy_next_q,gdp_yoy_change_next_q
2022Q3,448,448,0.1049107142857142,0.078125,0.546875,0.8058035714285714,0.0078479273510272,0.0076656563132967,0.010182171084369,0.0107211360877271,0.0040283351432348,0.0048003731529137,0.0043379265417736,0.0051747788892748,0.0030616475676409,0.00371403808787,0.0001472465184231,0.0001453168159142,2.383031089917125e-05,8.159500358818375e-06,0.0007146085427615,0.000763107557368,0.000664956544696,0.0006624737196092,7.080149254979585e-05,7.343550322940512e-05,0.0002963924674619,0.0003077297278184,0.0006363350131266,0.0005890382163798,0.0006831467992404,0.00072269860321,0.0080266356129714,0.007851382083369,-0.0004155352588847,-0.0004200199946613,-0.0052043005815892,-0.0046746546134273,0.0024067997724974,0.0027567074752804,-0.0058442445425953,-0.0055463571984522,0.0012762789741327,0.0014607408014047,3.038063525460834,2.8113780517443483,0.0242727512387136,0.0222175423818047,,0.0,,0.0,,0.0,,0.0,2022Q3,2.3,1.3,-0.9999999999999998
2022Q4,502,502,0.1454183266932271,0.0836653386454183,0.5418326693227091,0.8406374501992032,0.0084322850676951,0.0078046987287458,0.011262424800793,0.011505096090521,0.0039332006704499,0.0046733829687365,0.0043543705498651,0.0052260916352203,0.002695304667584,0.0031778320869924,0.0001282277725222,0.0001135963022444,-1.369854380335694e-06,-2.018820225565707e-05,0.000882712278785,0.0008918966966676,0.000593755176527,0.0005935934096065,4.643467286449281e-05,5.031984741334032e-05,0.0002797584064766,0.0002537084522277,0.0006310452191651,0.0005908815615423,0.0008386753026497,0.000818978115386,0.0086045498163528,0.0079912136122719,-0.0003618012972951,-0.0004103930070477,-0.0058800335878119,-0.004821626468615,0.0023627149312457,0.0027591941366091,-0.0069080542509278,-0.0062790044553006,0.0016590658822811,0.0020482595482279,2.888247847289994,2.640041613601211,0.0235010903907445,0.0219219771180286,0.0023847573518715,0.0,0.0083155927146621,0.0,-0.0003886682780899,0.0,0.0007609110509451,0.0,2022Q4,1.3,2.3,0.9999999999999998
2023Q1,478,478,0.0460251046025104,0.0564853556485355,0.602510460251046,0.8682008368200836,0.008894065840383,0.0085702565186327,0.0118531471361639,0.0123220561261635,0.0041668353847439,0.0051321912515151,0.0044399042606775,0.005507781877903,0.0034392831828855,0.0041768947433702,0.0001168105262083,0.0001080960609613,3.081816880222368e-05,1.5789312275242957e-05,0.0009271612334177,0.0009677026581003,0.0004173047222563,0.0004220604627422,3.42846032797724e-05,3.461503075727073e-05,0.0005343207615075,0.0004794485400503,0.0005862443482175,0.0005675043200468,0.0006395676210744,0.0006488800063885,0.0092984699789347,0.0089971752313057,0.0001135496047736,3.856235882609267e-05,-0.0069988661459119,-0.0060508914337746,0.0024131534377964,0.0029848461563572,-0.0074132428754863,-0.0068142742482604,0.001000621077792,0.0013308871345328,2.885259267462113,2.6393842447985265,0.0266277419182653,0.0247412450540737,0.0023942227138465,0.0,0.0086432184694196,0.0,-0.0002212623171354,0.0,0.0007204632409882,0.0,2023Q1,2.3,2.8,0.5
2023Q2,399,399,0.150375939849624,0.0726817042606516,0.6290726817042607,0.8421052631578947,0.0089206660258149,0.0083895107434362,0.0116171669099961,0.0119601881834875,0.0040845567383937,0.0051256927457988,0.0043985249936601,0.0054874807392185,0.003312258238898,0.004194012240312,0.0001365350068871,0.0001081448035237,-3.634949554005661e-05,-5.170426737816378e-05,0.0007972965382783,0.0008327939249458,0.00031140179526,0.0003299600574666,5.015236988698937e-05,5.328302363397453e-05,0.0010008066401783,0.0010321119022433,0.0005051214242416,0.0005012551112233,0.0004258160561004,0.0004467880203974,0.0094286815148799,0.0088836614515084,0.0006029029794912,0.0005971645537645,-0.0066374965858155,-0.0056804940565858,0.0033940879085556,0.0038003319486871,-0.0072186419163359,-0.0064727074442689,0.0010862667547621,0.0012934684989064,2.8969028420258867,2.6841174905865937,0.0223302892199628,0.0204527872941696,0.0026441890125238,1.7303101811487211,0.0088395842307847,1.0439432731111244,-1.5220992978753672e-05,1.500242869780303,0.0006468014447662,-1.4982195193058283,2023Q2,2.8,3.2,0.40000000000000036
2023Q3,480,480,0.2416666666666666,0.08125,0.6541666666666667,0.8895833333333333,0.0093182158481336,0.008810936659116,0.0124919406257402,0.0129103748519362,0.0044149635263134,0.005463066236984,0.0047175067929544,0.0058272229114341,0.0035576279753434,0.0044762587385634,0.0001446090912042,0.0001404889013767,2.016113644461955e-06,1.607424500877975e-05,0.000769078051842,0.0007712422755215,0.0003320147184435,0.0003269501434786,2.749904904215812e-05,3.3755914518444864e-05,0.0011803512621835,0.0011367706070213,0.0004366846759286,0.0004645456807538,0.0004351337000919,0.0004504003451461,0.009796769291088,0.0092722674908681,0.0008228536083422,0.0007921387940329,-0.0070512396911035,-0.0061967334483853,0.0035683832083267,0.0038676728365157,-0.0077744338327858,-0.0070831519405021,0.001159878817611,0.0013509641728707,2.8631699761855383,2.6456096025472564,0.0226924142358206,0.0210109671358845,0.0029345848714811,1.3802906229961327,0.0092821176503138,1.2087307514348635,0.0002943762238279,1.3458142364189032,0.0005847981699791,-1.0802238879468655,2023Q3,3.2,3.4,0.19999999999999973
2023Q4,482,482,0.1659751037344398,0.0726141078838174,0.5954356846473029,0.8547717842323651,0.008954504412618,0.008445012747099,0.0119875218114854,0.0123843444520064,0.0043402309768278,0.0052324632380751,0.0046887742459201,0.0056864959122389,0.0033248699183317,0.0040728237541524,8.661607822474852e-05,9.625846828313524e-05,-5.196482947308444e-05,-6.67137898992154e-05,0.0008152651876495,0.0008469474470061,0.0003081573257754,0.0003240384080818,2.675991594361164e-05,3.081541723915546e-05,0.0009817558323337,0.0008990477400703,0.0004774324681914,0.0004800216025604,0.0004969648163668,0.0005048010102373,0.0093594208621254,0.008883417652151,0.0005948737611415,0.00047748012485,-0.0064122757061684,-0.0055641979842414,0.0035420189170985,0.0037966997927597,-0.0072987475655653,-0.0066978485397674,0.0013639043275883,0.0016136721580865,2.8685896222449148,2.65022457412936,0.0225380870174318,0.0211975125286908,0.0032294108679443,1.0676451993613023,0.009470835411757,0.462958477828008,0.0005335449884371,0.7622401427756457,0.0004993705484084,-0.6028546603475068,2023Q4,3.4,2.9,-0.5
2024Q1,469,469,0.0426439232409381,0.0469083155650319,0.673773987206823,0.8571428571428571,0.0096618629322228,0.0096352738921657,0.0126423405125932,0.0134463597491248,0.0048831455143889,0.0059078187058267,0.0051693709475854,0.0062778552401734,0.004079293962979,0.0048830144980443,0.0001270572099341,0.0001365117988124,3.950493787060172e-05,3.9408717901987273e-05,0.0009145352961122,0.0009672475721864,0.0002537111562015,0.000262934965842,2.4981937974409325e-05,2.9635355862293548e-05,0.001001345189863,0.0009836415988337,0.0004050241964942,0.0003985009554249,0.0003883283555515,0.0003795847708319,0.0103151270827177,0.0103594484923327,0.0007621570335576,0.0007304799950313,-0.0067879167768957,-0.0061721647222472,0.0042893673393796,0.0049177637651168,-0.0074729695650077,-0.0071685045089513,0.0010900769846063,0.001394840742129,2.9052596651241096,2.69948198986087,0.0270021500455368,0.0251147030143254,0.0036984643433401,1.6497004000554676,0.0097249996877028,1.5137579603746787,0.0006956968456331,0.9462205703392618,0.0004365607320277,-1.1027348021259007,2024Q1,2.9,3.1,0.20000000000000018
2024Q2,469,469,0.1684434968017057,0.0554371002132196,0.6695095948827292,0.8784648187633263,0.0094368880338023,0.0090310997080572,0.0127478353054653,0.0132415525090161,0.004647233892015,0.005552767576716,0.0049178222883968,0.0058831106910248,0.0040498417538337,0.0048072234575169,0.0001544225313495,0.0001509421997067,2.9683348244509568e-05,5.945206990632158e-06,0.0008669117030707,0.0008884781558231,0.000236210460808,0.0002516804292703,2.6767096512356527e-05,3.0056324230444964e-05,0.0011795548275416,0.0011193503606263,0.0003890693762377,0.0004009711825908,0.0003629321615855,0.0003613364693198,0.0100952901066371,0.0097091835942673,0.0009462606184657,0.0008435588141161,-0.0073511018587431,-0.0066835257670742,0.0036904488663597,0.0038692166413092,-0.0078300130170684,-0.0073584418179912,0.000867980534563,0.0010758872335078,2.8478668818755324,2.633909030524516,0.0223233595194351,0.0205644709806189,0.0037725545827911,0.7121014764063909,0.0098916518356421,1.0318472413938424,0.0007815362553767,1.1226381639455223,0.0004208397583989,-1.0820101963630375,2024Q2,3.1,2.8,-0.30000000000000027
2024Q3,464,464,0.2068965517241379,0.1099137931034482,0.6551724137931034,0.8728448275862069,0.0096936706214329,0.0091626825267757,0.013040570915884,0.0134389666473414,0.0050903378644297,0.0057612402478861,0.0051512364525082,0.0060168881966772,0.0042953627357039,0.0049450253926612,0.0001281330105387,0.0001283197872035,1.9534479632891817e-05,1.4943570155342885e-05,0.0009098249451612,0.0009349477153717,0.0002178909577242,0.0002283767352002,2.2664757850457836e-05,2.533909721993758e-05,0.0010861331253789,0.001053846556173,0.0003608292144659,0.0003677417699099,0.0003212368949609,0.0003385043500407,0.010410391682172,0.0098874456793102,0.000865111889437,0.0008150742939081,-0.0073942899610374,-0.0067179574165581,0.0038812136105717,0.0039845625566602,-0.0078893344633757,-0.0074220784506642,0.0008558737168043,0.001071862804016,2.859116595211632,2.667995490665359,0.0222970203022895,0.0209021563246873,0.0038507621833524,0.771864312326417,0.0100450574334131,1.3127877732655422,0.0007921008256504,0.7688494942379982,0.0003923655571161,-1.0426741050384922,2024Q3,2.8,2.4,-0.3999999999999999
2024Q4,488,484,0.1844262295081967,0.0840163934426229,0.6700819672131147,0.8729508196721312,0.0100203076095991,0.0097074737002179,0.0133833150768765,0.014141661114459,0.0049292855944473,0.0060483374091739,0.0052625677077087,0.0064441265532238,0.0041298557009826,0.0051050938213579,0.0001803021128725,0.0001655742516927,-1.4693022402619732e-06,8.359088434972342e-06,0.0010065692682962,0.001003090612197,0.0002367235747638,0.0002395200340021,2.4202495834764136e-05,2.186223129147137e-05,0.0012339369694431,0.0010940760747778,0.0003526478552472,0.0003581547890985,0.0003183136660086,0.0003298624897801,0.0108888653247593,0.0105462760743276,0.0009715415966042,0.0008410528979191,-0.0073406832176889,-0.0067166566184678,0.0045197237036746,0.0046706723537789,-0.0081207473691677,-0.0076975345612351,0.0011327120067261,0.0013390327318659,2.913508042165532,2.6876400462603525,0.0238031705672079,0.0219130288288884,0.0040951883799964,1.440922413961349,0.0104274185490716,1.74641438635416,0.0008862677845161,1.0031261878925264,0.0003477027695266,-1.0612193381920578,2024Q4,2.4,2.0,-0.3999999999999999
