transcript_id,relative_path,transcript_path,company_slug,company_name,ticker,company_key,call_date,fiscal_year,fiscal_period,file_name,qa_detected,sentence_count,token_count,avg_sentence_length,long_word_share,complexity_score,numeric_token_share,overall_positive_density,overall_negative_density,overall_net_tone,overall_token_count,prepared_positive_density,prepared_negative_density,prepared_net_tone,prepared_token_count,qa_positive_density,qa_negative_density,qa_net_tone,qa_token_count,management_qa_positive_density,management_qa_negative_density,management_qa_net_tone,management_qa_token_count,analyst_question_positive_density,analyst_question_negative_density,analyst_question_net_tone,analyst_question_token_count,demand_positive_density,demand_negative_density,demand_net,pricing_positive_density,pricing_negative_density,pricing_power_net,capex_positive_density,capex_negative_density,capex_net,supply_chain_pressure_density,labor_pressure_density,automation_density,uncertainty_density,risk_density,macro_risk_density,guidance_raised,guidance_lowered,guidance_net,qna_reality_gap,analyst_management_gap,growth_signal,margin_signal,credibility_signal,composite_signal,call_date_dt,overall_net_tone_qoq_change,overall_net_tone_yoy_change,overall_net_tone_rolling_z8,overall_net_tone_rolling_mean4,prepared_net_tone_qoq_change,prepared_net_tone_yoy_change,prepared_net_tone_rolling_z8,prepared_net_tone_rolling_mean4,management_qa_net_tone_qoq_change,management_qa_net_tone_yoy_change,management_qa_net_tone_rolling_z8,management_qa_net_tone_rolling_mean4,analyst_question_net_tone_qoq_change,analyst_question_net_tone_yoy_change,analyst_question_net_tone_rolling_z8,analyst_question_net_tone_rolling_mean4,demand_net_qoq_change,demand_net_yoy_change,demand_net_rolling_z8,demand_net_rolling_mean4,pricing_power_net_qoq_change,pricing_power_net_yoy_change,pricing_power_net_rolling_z8,pricing_power_net_rolling_mean4,capex_net_qoq_change,capex_net_yoy_change,capex_net_rolling_z8,capex_net_rolling_mean4,supply_chain_pressure_density_qoq_change,supply_chain_pressure_density_yoy_change,supply_chain_pressure_density_rolling_z8,supply_chain_pressure_density_rolling_mean4,labor_pressure_density_qoq_change,labor_pressure_density_yoy_change,labor_pressure_density_rolling_z8,labor_pressure_density_rolling_mean4,automation_density_qoq_change,automation_density_yoy_change,automation_density_rolling_z8,automation_density_rolling_mean4,uncertainty_density_qoq_change,uncertainty_density_yoy_change,uncertainty_density_rolling_z8,uncertainty_density_rolling_mean4,macro_risk_density_qoq_change,macro_risk_density_yoy_change,macro_risk_density_rolling_z8,macro_risk_density_rolling_mean4,growth_signal_qoq_change,growth_signal_yoy_change,growth_signal_rolling_z8,growth_signal_rolling_mean4,margin_signal_qoq_change,margin_signal_yoy_change,margin_signal_rolling_z8,margin_signal_rolling_mean4,credibility_signal_qoq_change,credibility_signal_yoy_change,credibility_signal_rolling_z8,credibility_signal_rolling_mean4,composite_signal_qoq_change,composite_signal_yoy_change,composite_signal_rolling_z8,composite_signal_rolling_mean4
3d-systems\2022\Q2\DDD_2022-08-09_Q2,3d-systems\2022\Q2\DDD_2022-08-09_Q2.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2022\Q2\DDD_2022-08-09_Q2.txt,3d-systems,3D Systems,DDD,DDD,2022-08-09,2022,Q2,DDD_2022-08-09_Q2.txt,1,591,10178,17.22165820642978,0.1566446181599519,2.697680073827395,0.010414619768127334,0.009628610729023384,0.004421300844959717,0.005207309884063667,10178,0.012952101661779082,0.005620723362658847,0.007331378299120235,4092,0.007394019060138022,0.003614853762734144,0.0037791652974038777,6086,0.007852375343541421,0.0035335689045936395,0.0043188064389477815,5094,0.0051440329218107,0.00411522633744856,0.00102880658436214,972,9.825112988799372e-05,0.0,9.825112988799372e-05,0.0002947533896639811,0.00019650225977598743,9.825112988799372e-05,0.0005895067793279622,0.0,0.0005895067793279622,0.0026527805069758302,0.0,0.00019650225977598743,0.0017685203379838867,0.004028296325407742,0.0014737669483199057,0,0,0,-0.0030125718601724536,0.0032899998545856414,0.004421300844959717,-0.002358027117311849,-0.0014910923435706989,0.0005721813840771693,2022-08-09,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
3d-systems\2022\Q3\DDD_2022-11-09_Q3,3d-systems\2022\Q3\DDD_2022-11-09_Q3.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2022\Q3\DDD_2022-11-09_Q3.txt,3d-systems,3D Systems,DDD,DDD,2022-11-09,2022,Q3,DDD_2022-11-09_Q3.txt,0,47,904,19.23404255319149,0.20090293453724606,3.864175591950435,0.015486725663716814,0.014380530973451327,0.0022123893805309734,0.012168141592920354,904,0.014380530973451327,0.0022123893805309734,0.012168141592920354,904,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0011061946902654867,0.0011061946902654867,0.0,0.0011061946902654867,0.0022123893805309734,0.0,0.0,0.0011061946902654867,0.004424778761061947,0.004424778761061947,0,0,0,-0.012168141592920354,0.0,0.008849557522123894,-0.0011061946902654867,-0.01327433628318584,-0.0055309734513274336,2022-11-09,0.006960831708856687,,0.0,0.008687725738492011,0.004836763293800119,,0.0,0.009749759946020294,-0.0043188064389477815,,0.0,0.0021594032194738907,-0.00102880658436214,,0.0,0.00051440329218107,-9.825112988799372e-05,,0.0,4.912556494399686e-05,0.001007943560377493,,0.0,0.0006022229100767402,0.0005166879109375245,,0.0,0.0008478507347967245,-0.0004403911264448568,,0.0,0.0024325849437534016,0.0,,0.0,0.0,-0.00019650225977598743,,0.0,9.825112988799372e-05,-0.0006623256477184,,0.0,0.0014373575141246866,0.002951011812742041,,0.0,0.0029492728546909263,0.0044282566771641765,,0.0,0.006635429183541805,0.0012518324270463623,,0.0,-0.0017321109037886679,-0.011783243939615141,,0.0,-0.00738271431337827,-0.006103154835404603,,0.0,-0.0024793960336251322
3d-systems\2022\Q4\DDD_2023-03-01_Q4,3d-systems\2022\Q4\DDD_2023-03-01_Q4.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2022\Q4\DDD_2023-03-01_Q4.txt,3d-systems,3D Systems,DDD,DDD,2023-03-01,2022,Q4,DDD_2023-03-01_Q4.txt,1,579,10701,18.481865284974095,0.1735433375205334,3.2074045851592885,0.021493318381459677,0.009812167087188113,0.004205214465937763,0.005606952621250351,10701,0.0124712202609363,0.0061396776669224865,0.006331542594013815,5212,0.007287301876480233,0.0023683731098560756,0.004918928766624158,5489,0.008040431886055594,0.002526992878474615,0.005513439007580979,4353,0.004432624113475178,0.0017730496453900709,0.0026595744680851063,1128,9.344921035417251e-05,0.0,9.344921035417251e-05,0.0,0.0,0.0,0.001308288944958415,0.0,0.001308288944958415,0.0008410428931875525,0.0,9.344921035417251e-05,0.000560695262125035,0.00261657788991683,0.0007475936828333801,0,0,0,-0.000818103586432836,0.0028538645394958722,0.006261097093729557,-0.0007475936828333801,0.001475065690938001,0.006988569101834178,2023-03-01,-0.006561188971670003,,0.0,0.007660801366078124,-0.005836598998906539,,0.0,0.008610354162018134,0.005513439007580979,,0.0,0.00327741514884292,0.0026595744680851063,,0.0,0.0012294603508157488,9.344921035417251e-05,,0.0,6.39001134140554e-05,-0.0011061946902654867,,0.0,0.00040148194005116015,0.0002020942546929283,,0.0,0.0010013301381839547,-0.001371346487343421,,0.0,0.0019020709268981187,0.0,,0.0,0.0,9.344921035417251e-05,,0.0,9.665049004338665e-05,-0.0005454994281404517,,0.0,0.001145136763458136,-0.0036771850782285668,,0.0,0.0022153797974050777,-0.0025884604283943364,,0.0,0.006510651820271056,0.00035860100743210664,,0.0,-0.001403938496803572,0.014749401974123841,,0.0,-0.00443012097860618,0.012519542553161612,,0.0,0.0006765923448613046
3d-systems\2023\Q1\DDD_2023-05-09_Q1,3d-systems\2023\Q1\DDD_2023-05-09_Q1.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2023\Q1\DDD_2023-05-09_Q1.txt,3d-systems,3D Systems,DDD,DDD,2023-05-09,2023,Q1,DDD_2023-05-09_Q1.txt,1,600,10194,16.99,0.16552557390253725,2.8122795006041077,0.01638218559937218,0.007847753580537572,0.003923876790268786,0.003923876790268786,10194,0.010179640718562874,0.005389221556886228,0.004790419161676647,5010,0.0055941358024691355,0.002507716049382716,0.0030864197530864196,5184,0.004442250740375123,0.0019743336623889436,0.0024679170779861796,4052,0.009760425909494233,0.0044365572315882874,0.005323868677905945,1127,9.809691975671964e-05,0.0,9.809691975671964e-05,0.0,9.809691975671964e-05,-9.809691975671964e-05,0.0015695507161075143,0.0,0.0015695507161075143,0.00019619383951343929,0.0,0.0006866784382970375,0.00039238767902687857,0.001079066117323916,0.0007847753580537571,1,0,1,-0.002322502083690467,-0.002855951599919765,0.004806749068079263,0.0003923876790268785,-0.00557084136263711,-0.00037170461553096956,2023-05-09,-0.0016830758309815648,,-0.8751210768092096,0.006726570222125789,-0.001541123432337168,,-1.038705424923714,0.007655370411932762,-0.003045521929594799,,-0.29178842933856575,0.003075040631128735,0.0026642942098208384,,1.5273014790954202,0.0022530624325882978,4.647709402547134e-06,,0.6125076379510463,7.244931499972147e-05,-9.809691975671964e-05,,-0.7741750790923313,0.0002765872250991902,0.00026126177114909927,,1.1854235711154166,0.0011433852826648445,-0.0006448490536741132,,-1.2845312085622933,0.0014756016550519489,0.0,,0.0,0.0,0.0005932292279428649,,1.6713140044935222,0.0002441574771067993,-0.00016830758309815648,,-1.0498735155966348,0.0009569494923503218,3.718167522037707e-05,,-0.7105494879212719,0.0018577286875672474,-0.0014543480256502947,,-0.7354980969125989,0.006084676132223107,0.0011399813618602585,,1.3732717406685955,-0.0009548569528459593,-0.007045907053575112,,-0.15446816428426274,-0.004715301074613912,-0.007360273717365148,,-0.17667924042446292,0.00041451810476323607
3d-systems\2023\Q2\DDD_2023-08-09_Q2,3d-systems\2023\Q2\DDD_2023-08-09_Q2.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2023\Q2\DDD_2023-08-09_Q2.txt,3d-systems,3D Systems,DDD,DDD,2023-08-09,2023,Q2,DDD_2023-08-09_Q2.txt,1,480,8534,17.779166666666665,0.16744408563568952,2.9770163058645296,0.014295758143895007,0.00796812749003984,0.004101242090461683,0.003866885399578158,8534,0.00914694770332074,0.005170013919268244,0.003976933784052496,5029,0.006276747503566334,0.0025677603423680455,0.003708987161198288,3505,0.005943536404160475,0.002228826151560178,0.003714710252600297,2692,0.007425742574257425,0.0037128712871287127,0.0037128712871287127,808,0.00011717834544176236,0.00011717834544176236,0.0,0.00023435669088352472,0.0,0.00023435669088352472,0.0009374267635340989,0.0,0.0009374267635340989,0.0005858917272088118,0.0,0.0,0.0005858917272088118,0.0009374267635340989,0.0008202484180923366,0,0,0,-0.0002622235314521989,1.8389654715842904e-06,0.00398406374501992,-0.00035153503632528706,-0.0008462762931894264,0.002786252415505207,2023-08-09,-5.699139069062801e-05,-0.0013404244844855092,-0.7416992657604139,0.006391464101004412,-0.0008134853776241508,-0.003354444515067739,-1.0244685204508621,0.006816759283165828,0.0012467931746141174,-0.0006040961863474845,0.27241144617503366,0.002924016584541864,-0.001610997390777232,0.0026840647027665727,0.6176573333913904,0.002924078608279941,-9.809691975671964e-05,-9.825112988799372e-05,-1.2239311411512137,4.788653252772304e-05,0.00033245361064024434,0.000136105560995531,-0.07798570971992315,0.00031061361534807295,-0.0006321239525734154,0.00034791998420613665,-0.49638023107313173,0.0012303652787163787,0.0003896978876953725,-0.0020668887797670185,-0.741954674400817,0.0009588794601101942,0.0,0.0,0.0,0.0,-0.0006866784382970375,-0.00019650225977598743,-0.7624896928248102,0.00019503191216280248,0.0001935040481819332,-0.0011826286107750749,-0.5897388768556748,0.000661292339656553,3.547306003857942e-05,-0.0006535185302275692,-0.5874195130223703,0.0016943490550103552,-0.0008226853230593424,-0.00043723709993979693,-0.9512173283643915,0.005975366857238158,-0.0007439227153521656,0.002006492080986562,0.5303599977179181,-0.00045323393259931883,0.004724565069447684,0.0006448160503812725,0.5963810757009101,-0.004554097062018594,0.0031579570310361765,0.002214071031428038,0.463715962089721,0.0009680358626202455
3d-systems\2023\Q3\DDD_2023-11-08_Q3,3d-systems\2023\Q3\DDD_2023-11-08_Q3.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2023\Q3\DDD_2023-11-08_Q3.txt,3d-systems,3D Systems,DDD,DDD,2023-11-08,2023,Q3,DDD_2023-11-08_Q3.txt,1,490,8746,17.848979591836734,0.1936054742803209,3.4556601592973197,0.01920878115710039,0.00914703864623828,0.004802195289275097,0.004344843356963183,8746,0.011879507848960543,0.007000424268137463,0.00487908358082308,4714,0.005952380952380952,0.002232142857142857,0.003720238095238095,4032,0.006099331977926227,0.0014522218995062445,0.004647110078419983,3443,0.005136986301369863,0.00684931506849315,-0.0017123287671232876,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0012577178138577635,0.0,0.0012577178138577635,0.001143379830779785,0.0,0.0,0.000228675966155957,0.001829407729247656,0.0005716899153898925,0,0,0,-0.00023197350240309732,0.00635943884554327,0.005030871255431054,-0.001143379830779785,0.005898789376984216,0.009786280801635485,2023-11-08,0.0004779579573850252,-0.00782329823595717,-0.5208853221544106,0.0044356395420151185,0.0009021497967705841,-0.007289058012097274,-0.6228386366146378,0.004994494780141509,0.0009323998258196856,0.004647110078419983,0.6695723134832016,0.00408579410414686,-0.005425200054252,-0.0017123287671232876,-1.5132605421870555,0.002495996416499119,0.0,0.0,-0.9994683676876505,4.788653252772304e-05,-0.00023435669088352472,-0.0011061946902654867,-0.5478109542384378,3.406494278170127e-05,0.0003202910503236646,0.0001515231235922768,0.4200966011646404,0.001268246059614448,0.0005574881035709732,-0.0010690095497511885,-0.14649522390160125,0.0006916270726723972,0.0,0.0,0.0,0.0,0.0,0.0,-0.6645997116129979,0.0001950319121628025,-0.00035721576105285477,-0.0008775187241095297,-1.0478812834332092,0.0004419126586291706,-0.0002485585027024441,-0.0038530888456720543,-0.665272303986729,0.0007310768435923416,0.0010468075104111338,-0.0038186862666928396,-0.3239797444742791,0.005020695290564948,-0.0007918447944544979,-3.718514051429824e-05,-0.30720259557538127,-0.0004625302177278934,0.006745065670173643,0.019173125660170057,1.368693126506523,0.00023918435302392013,0.007000028386130278,0.015317254252962919,1.4844863111717974,0.004797349425860975
3d-systems\2023\Q4\DDD_2024-02-28_Q4,3d-systems\2023\Q4\DDD_2024-02-28_Q4.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2023\Q4\DDD_2024-02-28_Q4.txt,3d-systems,3D Systems,DDD,DDD,2024-02-28,2023,Q4,DDD_2024-02-28_Q4.txt,0,139,3203,23.0431654676259,0.221224751522924,5.097718554877163,0.017795816422104278,0.013112706837339994,0.004995316890415236,0.008117389946924758,3203,0.013112706837339994,0.004995316890415236,0.008117389946924758,3203,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248829222603809,0.0,0.001248829222603809,0.001248829222603809,0.0,0.0,0.00031220730565095225,0.0034342803621604744,0.0015610365282547611,0,0,0,-0.008117389946924758,0.0,0.007805182641273806,-0.001248829222603809,-0.00842959725257571,-0.0018732438339057137,2024-02-28,0.003772546589961575,0.0025104373256744075,0.6943569186445239,0.0050632488734337205,0.0032383063661016783,0.0017858473529109437,0.5100379188354323,0.005440956618369245,-0.004647110078419983,-0.005513439007580979,-1.4366958009275348,0.002707434352251615,0.0017123287671232876,-0.0026595744680851063,-0.6950267449305119,0.0018311027994778425,0.0,-9.344921035417251e-05,-0.8656225074280043,2.452422993917991e-05,0.0,0.0,-0.49664037916204523,3.406494278170127e-05,-8.888591253954515e-06,-5.945972235460602e-05,0.3583617998222103,0.0012533811290257964,0.00010544939182402405,0.00040778632941625647,-0.024385672088493186,0.0007935736550264612,0.0,0.0,0.0,0.0,0.0,-9.344921035417251e-05,-0.5967602749500814,0.00017166960957425937,8.353133949499524e-05,-0.0002484879564740828,-0.7788393900001426,0.0003797906695106499,0.0009893466128648686,0.0008134428454213811,0.062040012772532814,0.0009344375549476869,0.0027743113858427516,0.0015440855475442484,1.1315781212992297,0.005406716677451011,-0.00010544939182402405,-0.0005012355397704289,-0.3955543487030393,-0.0005878391026705006,-0.014328386629559927,-0.009904662943513711,-0.8832607641231165,-0.002236981382854508,-0.011659524635541199,-0.008861812935739892,-0.7491580266766512,0.002581896191926002
3d-systems\2024\Q2\DDD_2024-08-30_Q2,3d-systems\2024\Q2\DDD_2024-08-30_Q2.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2024\Q2\DDD_2024-08-30_Q2.txt,3d-systems,3D Systems,DDD,DDD,2024-08-30,2024,Q2,DDD_2024-08-30_Q2.txt,1,490,8398,17.13877551020408,0.17036129822412738,2.9197840458902484,0.020600142891164564,0.00714455822814956,0.0042867349368897354,0.0028578232912598238,8398,0.009682885499878963,0.006535947712418301,0.0031469377874606633,4131,0.004687133817670494,0.0021092102179517225,0.002577923599718772,4267,0.004116436342252279,0.0023522493384298734,0.0017641870038224052,3401,0.006984866123399301,0.0011641443538998836,0.005820721769499418,859,0.0,0.0,0.0,0.00011907597046915932,0.0,0.00011907597046915932,0.0010716837342224339,0.0,0.0010716837342224339,0.0004763038818766373,0.00011907597046915932,0.00011907597046915932,0.0005953798523457966,0.0010716837342224339,0.0011907597046915933,0,0,0,-0.001382750783638258,-0.004056534765677013,0.002738747320790664,-0.00035722791140747797,-0.006034665401661067,-0.003653145992277881,2024-08-30,-0.005259566655664934,-0.0010660534990089622,-1.0240144599339462,0.0047967354986814805,-0.004970452159464095,-0.0016434813742159833,-1.182568152322001,0.005030086274815249,0.0017641870038224052,-0.0007037300741637744,-0.5297285978871863,0.002531501833710671,0.005820721769499418,0.0004968530915934735,1.4626359274916834,0.001955316072376211,0.0,-9.809691975671964e-05,-0.774267176204396,0.0,0.00011907597046915932,0.00021717289022587898,-0.17535311423467856,8.835816533817101e-05,-0.00017714548838137513,-0.0004978669818850804,-0.23772487981589027,0.0011289143835545262,-0.0007725253407271718,0.000280110042363198,-0.8623341167103754,0.0008636011656172608,0.00011907597046915932,0.00011907597046915932,2.6457513110645907,2.976899261728983e-05,0.00011907597046915932,-0.0005676024678278782,-0.08175237882760672,2.976899261728983e-05,0.0002831725466948444,0.00020299217331891807,-0.20640089173950396,0.00043053871284037945,-0.00037027682356316786,0.00040598434663783613,-0.21804925114592003,0.001035933641607146,-0.005066435320483141,-0.0020680017472885985,-1.4460962086109734,0.004889716240628861,0.000891601311196331,-0.0007496155904343565,0.6676372567290564,-0.0007752430002790898,0.0023949318509146438,-0.00046382403902395664,-0.4431574112769227,-0.0023529373926104973,-0.0017799021583721673,-0.0032814413767469114,-0.9707859879022098,0.0017615358477392744
3d-systems\2024\Q3\DDD_2024-11-27_Q3,3d-systems\2024\Q3\DDD_2024-11-27_Q3.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2024\Q3\DDD_2024-11-27_Q3.txt,3d-systems,3D Systems,DDD,DDD,2024-11-27,2024,Q3,DDD_2024-11-27_Q3.txt,0,63,1436,22.793650793650794,0.22494592645998557,5.127338895183163,0.0201949860724234,0.010445682451253482,0.004874651810584958,0.005571030640668524,1436,0.010445682451253482,0.004874651810584958,0.005571030640668524,1436,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.0006963788300835655,0.0020891364902506965,0.0,0.0,0.0006963788300835655,0.0006963788300835655,0.002785515320334262,0.0006963788300835655,0,0,0,-0.005571030640668524,0.0,0.006963788300835655,0.0006963788300835655,-0.006267409470752089,0.0013927576601671316,2024-11-27,0.0027132073494087,0.0017041452410903658,-0.08344113953127595,0.0052227718089540714,0.0024240928532078604,0.0015940968566160278,-0.20549107597504004,0.005428610488969256,-0.0017641870038224052,-0.003714710252600297,-1.0977408673919606,0.0016028242705605972,-0.005820721769499418,-0.0037128712871287127,-0.7548913844833018,0.0010270982505940327,0.0,0.0,-0.5771237924093506,0.0,-0.00011907597046915932,-0.00023435669088352472,-0.4652156307041293,2.976899261728983e-05,0.0010174527560282626,0.0011517097267165976,2.2616656925336547,0.0014168418152336758,-0.0004763038818766373,-0.0005858917272088118,-1.2743307367827175,0.0007171282338150578,-0.00011907597046915932,0.0,-0.37796447300922725,2.976899261728983e-05,0.0005773028596144062,0.0006963788300835655,1.7285901390263056,0.0002038637001381812,0.00010099897773776882,0.00011048710287475368,0.5369661375784528,0.00045816048855906787,-0.0004943808746080278,-0.0001238695880087711,-0.5443953869883269,0.0010049662446049532,0.004225040980044991,0.002979724555815735,0.607216560745329,0.0056346473795827945,0.0010536067414910434,0.0010479138664088526,1.7413223509568545,-0.0005132645336768766,-0.00023274406909102197,-0.005421133177562662,-0.3782649176007741,-0.003708220687001163,0.005045903652445012,-0.0013934947553380754,0.0414212450501818,0.0014131621589047556
3d-systems\2024\Q4\DDD_2025-03-27_Q4,3d-systems\2024\Q4\DDD_2025-03-27_Q4.txt,C:\Users\rajaa\OneDrive\Desktop\GardDat\3d-systems\2024\Q4\DDD_2025-03-27_Q4.txt,3d-systems,3D Systems,DDD,DDD,2025-03-27,2024,Q4,DDD_2025-03-27_Q4.txt,1,504,9162,18.178571428571427,0.16515202513182992,3.0022278854321938,0.020192097795241212,0.010805500982318271,0.0026195153896529143,0.008185985592665358,9162,0.010922871154703521,0.0035666518056174765,0.0073562193490860454,4486,0.0106928999144568,0.001710863986313088,0.008982035928143712,4676,0.011292016806722689,0.0015756302521008404,0.009716386554621849,3808,0.008215962441314555,0.002347417840375587,0.005868544600938967,852,0.0,0.0,0.0,0.0,0.0,0.0,0.0013097576948264572,0.0,0.0013097576948264572,0.0004365858982754857,0.0,0.0003274394237066143,0.0010914647456887142,0.0018554900676708143,0.0006548788474132286,0,0,0,0.0023601672055358035,0.003847841953682882,0.008840864440078585,-0.00010914647456887141,0.005116544413529971,0.013848262379039685,2025-03-27,0.002614954951996834,0.0038411422357021744,1.558424553975581,0.006183057367879615,0.0017851887084175217,0.0024771357682629655,1.1683414520677744,0.0060478944310349975,0.009716386554621849,0.005069276476201866,2.0703811703359674,0.0028701433896110634,0.005868544600938967,0.007580873368062254,1.1372840252684262,0.0029223165926095963,0.0,0.0,-0.5771237924093506,0.0,0.0,0.0,-0.3398124624776372,2.976899261728983e-05,-0.0007793787954242393,5.2039880968693646e-05,-0.11953827128243547,0.001429851785475849,0.0004365858982754857,-0.0007067939325042993,-0.4388490897658883,0.000540429750688983,0.0,0.0,-0.37796447300922725,2.976899261728983e-05,-0.00036893940637695117,0.0003274394237066143,0.31164408307261265,0.0002857235560648348,0.00039508591560514876,0.0008627887795327572,2.129613843196447,0.0006738576834422571,-4.1499982670336884e-05,8.31889320233361e-05,-0.7205467678660759,0.0010257634776107871,0.0018770761392429298,0.003809993184647531,1.5928443608662721,0.006587145675744677,-0.0008055253046524368,0.0010342333562109135,0.3884890508323585,-0.00025470619462414823,0.01138395388428206,-0.0007822449634542449,1.3410414485055593,-0.0039037819278647237,0.012455504718872554,0.0040619815774042,1.8000587893587965,0.0024286575532558056
